log_stamp	log_date	request_count	agent_count	uri_count
2017-11-09	09.11.2017	32	7	31
2017-11-10	10.11.2017	250	7	148
2017-11-11	11.11.2017	211	2	106
2017-11-12	12.11.2017	1188	2	143
2017-11-13	13.11.2017	425	6	108
2017-11-14	14.11.2017	635	3	110
2017-11-15	15.11.2017	224	6	103
2017-11-16	16.11.2017	631	3	118
2017-11-17	17.11.2017	425	5	110
2017-11-18	18.11.2017	297	3	107
2017-11-19	19.11.2017	1354	5	132
2017-11-20	20.11.2017	604	4	109
2017-11-21	21.11.2017	872	3	107
2017-11-22	22.11.2017	239	6	133
2017-11-23	23.11.2017	9	4	7
2017-11-24	24.11.2017	798	1	105
2017-11-25	25.11.2017	1165	4	132
2017-11-26	26.11.2017	647	4	113
2017-11-27	27.11.2017	50	3	27
2017-11-28	28.11.2017	223	7	116
2017-11-29	29.11.2017	838	3	107
2017-11-30	30.11.2017	174	4	89
2017-12-01	01.12.2017	654	6	133
2017-12-02	02.12.2017	860	6	128
2017-12-03	03.12.2017	580	6	113
2017-12-04	04.12.2017	291	5	109
2017-12-05	05.12.2017	212	2	106
2017-12-06	06.12.2017	599	3	112
2017-12-07	07.12.2017	599	5	120
2017-12-08	08.12.2017	10	4	9
2017-12-09	09.12.2017	28	6	12
2017-12-10	10.12.2017	15	7	14
2017-12-11	11.12.2017	8	3	8
2017-12-12	12.12.2017	12	5	12
2017-12-13	13.12.2017	2	2	2
2017-12-14	14.12.2017	52	7	47
2017-12-15	15.12.2017	42	4	37
2017-12-16	16.12.2017	18	4	17
2017-12-17	17.12.2017	16	4	15
2017-12-18	18.12.2017	15	3	15
2017-12-19	19.12.2017	11	4	10
2017-12-20	20.12.2017	15	4	14
2017-12-21	21.12.2017	12	7	9
2017-12-22	22.12.2017	35	4	27
2017-12-23	23.12.2017	2	2	2
2017-12-24	24.12.2017	2	2	2
2017-12-25	25.12.2017	16	6	12
2017-12-26	26.12.2017	2	2	2
2017-12-27	27.12.2017	4	3	4
2017-12-28	28.12.2017	2	2	2
2017-12-29	29.12.2017	13	2	8
2017-12-30	30.12.2017	11	5	11
2017-12-31	31.12.2017	142	8	136
